"Term" "Count" "pvalue" "GO.ID" "Annotated" "Significant" "Expected" "classicFisher"
"1" "jasmonic acid mediated signaling pathway" 10 0.00068 "GO:0009867" 12 10 3.74 "0.00068"
"2" "regulation of jasmonic acid biosynthetic..." 4 0.00898 "GO:0080141" 4 4 1.25 "0.00898"
"3" "regulation of salicylic acid biosyntheti..." 4 0.00898 "GO:0080142" 4 4 1.25 "0.00898"
"4" "regulation of hormone biosynthetic proce..." 4 0.00898 "GO:0046885" 4 4 1.25 "0.00898"
"5" "positive regulation of transcription by ..." 4 0.00898 "GO:0045944" 4 4 1.25 "0.00898"
"6" "root hair initiation" 4 0.00898 "GO:0048766" 4 4 1.25 "0.00898"
"7" "response to ozone" 4 0.00898 "GO:0010193" 4 4 1.25 "0.00898"
"8" "cellular oxidant detoxification" 3 0.02955 "GO:0098869" 3 3 0.94 "0.02955"
"9" "positive regulation of cellular process" 12 0.03061 "GO:0048522" 24 12 7.48 "0.03061"
"10" "plant-type cell wall organization" 5 0.033 "GO:0009664" 6 5 1.87 "0.03300"
