"Term" "Count" "pvalue" "GO.ID" "Annotated" "Significant" "Expected" "classicFisher"
"1" "seed development" 8 0.014 "GO:0048316" 11 8 5.42 "0.014"
"2" "cellular anatomical entity morphogenesis" 11 0.016 "GO:0032989" 15 11 7.39 "0.016"
"3" "positive regulation of cellular process" 17 0.026 "GO:0048522" 27 17 13.3 "0.026"
"4" "response to gibberellin" 6 0.027 "GO:0009739" 6 6 2.95 "0.027"
"5" "plant-type cell wall organization" 7 0.028 "GO:0009664" 9 7 4.43 "0.028"
"6" "response to ozone" 5 0.028 "GO:0010193" 5 5 2.46 "0.028"
"7" "regulation of hormone biosynthetic proce..." 5 0.028 "GO:0046885" 5 5 2.46 "0.028"
"8" "regulation of jasmonic acid biosynthetic..." 5 0.028 "GO:0080141" 5 5 2.46 "0.028"
"9" "regulation of salicylic acid biosyntheti..." 5 0.028 "GO:0080142" 5 5 2.46 "0.028"
"10" "response to acid chemical" 30 0.028 "GO:0001101" 48 30 23.64 "0.028"
